Significance list =  [0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.04, 0.03, 0.02, 0.01]
bike 	 0.1 	 Coverage (expected 90.0%) 	 LWA-Net 	 89.77961432506886 +- 0.7898445797581197 	 0.9754514816558354 +- 0.09428818370934755
bike 	 0.1 	 Coverage (expected 90.0%) 	 CQR Net 	 89.90817263544537 +- 0.7331978425620876 	 0.9477003336202907 +- 0.10778789959560947
bike 	 0.09 	 Coverage (expected 91.0%) 	 LWA-Net 	 90.64967860422405 +- 0.871567878817391 	 0.9854832076127629 +- 0.08545243428063683
bike 	 0.09 	 Coverage (expected 91.0%) 	 CQR Net 	 90.94123048668503 +- 0.769451717460833 	 0.9842284036345401 +- 0.07688912554230715
bike 	 0.08 	 Coverage (expected 92.0%) 	 LWA-Net 	 91.96740128558312 +- 0.513325169838898 	 1.0592023491593037 +- 0.07255823244968107
bike 	 0.08 	 Coverage (expected 92.0%) 	 CQR Net 	 91.96051423324151 +- 0.6389655322769827 	 1.1308699074366557 +- 0.19086670208873804
bike 	 0.07 	 Coverage (expected 93.0%) 	 LWA-Net 	 92.9040404040404 +- 0.86597417548233 	 1.0959780281803015 +- 0.07300319942303267
bike 	 0.07 	 Coverage (expected 93.0%) 	 CQR Net 	 93.02341597796143 +- 0.7509711324707449 	 1.1310662267494993 +- 0.1580710292955914
bike 	 0.06 	 Coverage (expected 94.0%) 	 LWA-Net 	 93.9302112029385 +- 0.6920961100780285 	 1.216838870961407 +- 0.1601026270679946
bike 	 0.06 	 Coverage (expected 94.0%) 	 CQR Net 	 94.0082644628099 +- 0.8162474358040385 	 1.2161673397581423 +- 0.20240112992659656
bike 	 0.05 	 Coverage (expected 95.0%) 	 LWA-Net 	 95.0068870523416 +- 0.5898424700575517 	 1.2827300286811203 +- 0.12595567349200246
bike 	 0.05 	 Coverage (expected 95.0%) 	 CQR Net 	 94.9403122130395 +- 0.5299422618365658 	 1.3150158620683632 +- 0.11344414790602768
bike 	 0.04 	 Coverage (expected 96.0%) 	 LWA-Net 	 95.97337006427915 +- 0.49250457495807165 	 1.4246523859395404 +- 0.18315029504663793
bike 	 0.04 	 Coverage (expected 96.0%) 	 CQR Net 	 95.88842975206612 +- 0.4896521697069861 	 1.6082948114442561 +- 0.4811136445513672
bike 	 0.03 	 Coverage (expected 97.0%) 	 LWA-Net 	 96.89623507805327 +- 0.4349126525917618 	 1.5485360664709025 +- 0.10520920193721682
bike 	 0.03 	 Coverage (expected 97.0%) 	 CQR Net 	 96.96740128558311 +- 0.36986058869117766 	 1.6423519123024914 +- 0.12592794440148686
bike 	 0.02 	 Coverage (expected 98.0%) 	 LWA-Net 	 97.910927456382 +- 0.4204101686935742 	 1.7358884823723648 +- 0.167619445291055
bike 	 0.02 	 Coverage (expected 98.0%) 	 CQR Net 	 98.05555555555557 +- 0.20494010263339266 	 1.9561768278869067 +- 0.36154058221964386
bike 	 0.01 	 Coverage (expected 99.0%) 	 LWA-Net 	 98.989898989899 +- 0.22094880770697523 	 2.057207866509798 +- 0.19724228495882296
bike 	 0.01 	 Coverage (expected 99.0%) 	 CQR Net 	 99.02892561983472 +- 0.40006518719090495 	 2.3341312339487383 +- 0.24475718031379623
