name,method,seed,Significance,Coverage (expected 90.0%),Avg. Length,Coverage (expected 91.0%),Coverage (expected 92.0%),Coverage (expected 93.0%),Coverage (expected 94.0%),Coverage (expected 95.0%),Coverage (expected 96.0%),Coverage (expected 97.0%),Coverage (expected 98.0%),Coverage (expected 99.0%)
bike,CQR Net,19,0.1,89.62350780532599,0.9068637661314316,,,,,,,,,
bike,CQR Net,18,0.1,89.6694214876033,1.0056308530325786,,,,,,,,,
bike,CQR Net,17,0.1,90.81726354453627,0.9629559043599882,,,,,,,,,
bike,CQR Net,16,0.1,89.94490358126723,0.978039473541512,,,,,,,,,
bike,CQR Net,15,0.1,90.77134986225896,0.8606967133426264,,,,,,,,,
bike,CQR Net,14,0.1,89.11845730027548,0.8196123910809571,,,,,,,,,
bike,CQR Net,13,0.1,90.9090909090909,1.32500045689779,,,,,,,,,
bike,CQR Net,12,0.1,89.39393939393939,0.9647296508081442,,,,,,,,,
bike,CQR Net,11,0.1,91.00091827364557,0.9839853843429474,,,,,,,,,
bike,CQR Net,10,0.1,90.40404040404042,0.884356158446004,,,,,,,,,
bike,CQR Net,9,0.1,89.25619834710744,0.9036761317778416,,,,,,,,,
bike,CQR Net,8,0.1,89.07254361799816,0.8856700699967978,,,,,,,,,
bike,CQR Net,7,0.1,91.00091827364557,1.0696237810380258,,,,,,,,,
bike,CQR Net,6,0.1,89.21028466483011,0.8954711336500539,,,,,,,,,
bike,CQR Net,5,0.1,89.39393939393939,0.9342826178760923,,,,,,,,,
bike,CQR Net,4,0.1,90.9090909090909,0.8782300306911708,,,,,,,,,
bike,CQR Net,3,0.1,89.21028466483011,0.8772312751000523,,,,,,,,,
bike,CQR Net,2,0.1,89.57759412304867,1.0073547860722103,,,,,,,,,
bike,CQR Net,1,0.1,89.25619834710744,0.9378041952721864,,,,,,,,,
bike,CQR Net,0,0.1,89.62350780532599,0.872791898947404,,,,,,,,,
bike,CQR Net,19,0.09,,0.935764485804229,91.96510560146923,,,,,,,,
bike,CQR Net,18,0.09,,0.9375145189597504,90.58769513314968,,,,,,,,
bike,CQR Net,17,0.09,,0.97693848547323,91.73553719008264,,,,,,,,
bike,CQR Net,16,0.09,,0.9800738102931332,90.633608815427,,,,,,,,
bike,CQR Net,15,0.09,,1.0159026132695568,90.49586776859503,,,,,,,,
bike,CQR Net,14,0.09,,0.9755723558629704,90.72543617998164,,,,,,,,
bike,CQR Net,13,0.09,,1.1079569719304203,91.50596877869606,,,,,,,,
bike,CQR Net,12,0.09,,0.9546499814003488,88.9348025711662,,,,,,,,
bike,CQR Net,11,0.09,,0.9533876220381812,90.8631772268136,,,,,,,,
bike,CQR Net,10,0.09,,0.9712428549151522,90.95500459136822,,,,,,,,
bike,CQR Net,9,0.09,,1.129112530001965,91.96510560146923,,,,,,,,
bike,CQR Net,8,0.09,,1.1983773889408351,91.1386593204775,,,,,,,,
bike,CQR Net,7,0.09,,0.9102903089919654,91.4141414141414,,,,,,,,
bike,CQR Net,6,0.09,,0.9908135902637716,90.08264462809916,,,,,,,,
bike,CQR Net,5,0.09,,0.9756684696337736,91.1386593204775,,,,,,,,
bike,CQR Net,4,0.09,,0.9046105918075968,91.59779614325068,,,,,,,,
bike,CQR Net,3,0.09,,0.957663390038003,90.26629935720844,,,,,,,,
bike,CQR Net,2,0.09,,0.9382452211574512,91.91919191919192,,,,,,,,
bike,CQR Net,1,0.09,,0.973991612737008,90.03673094582186,,,,,,,,
bike,CQR Net,0,0.09,,0.8967912691714596,90.8631772268136,,,,,,,,
bike,CQR Net,19,0.08,,1.1315178472148486,,92.24058769513314,,,,,,,
bike,CQR Net,18,0.08,,1.0699342580305204,,91.643709825528,,,,,,,
bike,CQR Net,17,0.08,,1.0636486609605773,,92.42424242424242,,,,,,,
bike,CQR Net,16,0.08,,0.9577210669765374,,92.01101928374656,,,,,,,
bike,CQR Net,15,0.08,,1.0776001344459718,,92.8374655647383,,,,,,,
bike,CQR Net,14,0.08,,0.9399059468874308,,91.59779614325068,,,,,,,
bike,CQR Net,13,0.08,,1.0801377676374342,,93.52617079889806,,,,,,,
bike,CQR Net,12,0.08,,1.14856100256518,,91.55188246097336,,,,,,,
bike,CQR Net,11,0.08,,1.1187114486093672,,92.69972451790632,,,,,,,
bike,CQR Net,10,0.08,,1.0658268257872954,,91.8732782369146,,,,,,,
bike,CQR Net,9,0.08,,1.8872987745813783,,91.32231404958677,,,,,,,
bike,CQR Net,8,0.08,,1.0945218476963712,,91.3682277318641,,,,,,,
bike,CQR Net,7,0.08,,1.1454975748686094,,91.55188246097336,,,,,,,
bike,CQR Net,6,0.08,,1.206022482419248,,91.50596877869606,,,,,,,
bike,CQR Net,5,0.08,,1.0410829973693585,,92.3783287419651,,,,,,,
bike,CQR Net,4,0.08,,1.1720552061974343,,91.1386593204775,,,,,,,
bike,CQR Net,3,0.08,,1.094662976168144,,91.78145087235995,,,,,,,
bike,CQR Net,2,0.08,,1.0768925941423526,,92.42424242424242,,,,,,,
bike,CQR Net,1,0.08,,1.2063015649852893,,92.3324150596878,,,,,,,
bike,CQR Net,0,0.08,,1.039497171189761,,91.00091827364557,,,,,,,
bike,CQR Net,19,0.07,,1.1082728619168147,,,93.89348025711662,,,,,,
bike,CQR Net,18,0.07,,1.026823632462725,,,92.79155188246098,,,,,,
bike,CQR Net,17,0.07,,1.2814275632775751,,,93.75573921028466,,,,,,
bike,CQR Net,16,0.07,,1.0865587112848725,,,92.24058769513314,,,,,,
