concrete 	 0.9 	 Coverage (expected 10.0%) 	 LWA-Net 	 9.635922330097088 +- 2.724621609199322 	 0.024888483235992225 +- 0.018948447369621434
concrete 	 0.9 	 Coverage (expected 10.0%) 	 CQR Net 	 9.320388349514564 +- 3.4670705728331694 	 0.024773036724734028 +- 0.01895681619198723
concrete 	 0.925 	 Coverage (expected 7.5%) 	 LWA-Net 	 7.087378640776697 +- 2.7703276183132286 	 0.05858999474100692 +- 0.03548748363015103
concrete 	 0.925 	 Coverage (expected 7.5%) 	 CQR Net 	 5.873786407766991 +- 2.3566659324643564 	 0.05144868710810694 +- 0.02528449770787305
concrete 	 0.95 	 Coverage (expected 5.0%) 	 LWA-Net 	 4.708737864077669 +- 2.25555700299769 	 0.12887211427164882 +- 0.04920161396846862
concrete 	 0.95 	 Coverage (expected 5.0%) 	 CQR Net 	 4.393203883495145 +- 1.7782117977932754 	 0.1151020931459746 +- 0.060237033556137465
concrete 	 0.975 	 Coverage (expected 2.5%) 	 LWA-Net 	 2.2330097087378644 +- 1.5859516915899152 	 0.2582229228491343 +- 0.05363226825544057
concrete 	 0.975 	 Coverage (expected 2.5%) 	 CQR Net 	 2.160194174757281 +- 1.473034615231563 	 0.24514836530806944 +- 0.0600489165947123
bike 	 0.9 	 Coverage (expected 10.0%) 	 LWA-Net 	 9.699265381083563 +- 0.8363052337507847 	 0.1497308276980239 +- 0.03543652703898029
bike 	 0.9 	 Coverage (expected 10.0%) 	 CQR Net 	 9.65105601469238 +- 0.8328120896319428 	 0.13885481092699134 +- 0.021617404042641016
bike 	 0.925 	 Coverage (expected 7.5%) 	 LWA-Net 	 7.6882460973370055 +- 0.7354453509508436 	 0.27049961189292127 +- 0.04901408003341681
bike 	 0.925 	 Coverage (expected 7.5%) 	 CQR Net 	 7.37603305785124 +- 0.6758215273210997 	 0.25151982203406453 +- 0.026585838776233058
bike 	 0.95 	 Coverage (expected 5.0%) 	 LWA-Net 	 5.130853994490359 +- 0.5547521342409687 	 0.47002370550995903 +- 0.04675619746891636
bike 	 0.95 	 Coverage (expected 5.0%) 	 CQR Net 	 4.997704315886135 +- 0.8045795817965049 	 0.4860648698379569 +- 0.0689901150755968
bike 	 0.975 	 Coverage (expected 2.5%) 	 LWA-Net 	 2.5344352617079893 +- 0.45222186317802937 	 0.8368419218606581 +- 0.10985005082458299
bike 	 0.975 	 Coverage (expected 2.5%) 	 CQR Net 	 2.51147842056933 +- 0.5823126300123658 	 0.954026981354225 +- 0.1302563829818692
